[2017-05-09T13:54:19.756964] id=30, name=Kepler-705 b, per=56.0560538, mass=0.0156727, sep=0.231978, dist=251.0, mstar=0.53, rstar=0.51, teff=3722.0, fe=0.07
[2017-05-09T13:54:19.759546] id=43, name=Kepler-440 b, per=101.11141, mass=0.0136945, sep=0.353207, dist=261.0, mstar=0.575, rstar=0.559, teff=4134.0, fe=-0.3
[2017-05-09T13:54:19.762558] id=219, name=HD 159868 b, per=1178.4, mass=2.20004, sep=2.29553, dist=58.6854, mstar=1.16, rstar=1.84825, teff=5558.0, fe=-0.08
[2017-05-09T13:54:19.764501] id=296, name=7 CMa b, per=763.0, mass=2.43233, sep=1.80264, dist=19.7511, mstar=1.34, rstar=2.3, teff=4761.0, fe=0.21
[2017-05-09T13:54:19.766280] id=320, name=HD 13908 c, per=931.0, mass=5.13, sep=2.03386, dist=71.2, mstar=1.29, rstar=1.67, teff=6255.0, fe=0.01
[2017-05-09T13:54:19.768158] id=335, name=Kepler-1628 b, per=76.378033, mass=0.112141, sep=0.288651, dist=352.0, mstar=0.55, rstar=0.52, teff=3724.0, fe=0.17
[2017-05-09T13:54:19.769980] id=351, name=Kepler-1341 b, per=132.9968322, mass=0.0267373, sep=0.471386, dist=466.0, mstar=0.79, rstar=0.72, teff=4662.0, fe=0.19
[2017-05-09T13:54:19.771762] id=366, name=HD 28185 b, per=379.0, mass=5.79721, sep=1.02341, dist=42.337, mstar=0.99, rstar=1.00685, teff=5656.0, fe=0.22
[2017-05-09T13:54:19.773545] id=402, name=HD 125612 b, per=559.40487, mass=3.06805, sep=1.3728, dist=54.2005, mstar=1.1, rstar=1.0426, teff=5897.0, fe=0.24
[2017-05-09T13:54:19.775322] id=411, name=HD 153950 b, per=499.4, mass=2.74209, sep=1.28031, dist=49.5295, mstar=1.12, rstar=1.15135, teff=6076.0, fe=-0.01
[2017-05-09T13:54:19.777120] id=500, name=mu Ara b, per=643.25, mass=1.74552, sep=1.5273, dist=15.5111, mstar=1.147, rstar=1.25035, teff=5784.28, fe=0.292921
[2017-05-09T13:54:19.778898] id=541, name=HIP 5158 b, per=345.72, mass=1.42633, sep=0.887919, dist=41.1862, mstar=0.78, rstar=0.986271, teff=4962.0, fe=0.1
